Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,2 Digit NAICS Industy,Rp,Link,Pay,Education,Number of Jobs in 2022,Job Outlook,Employment Change 2022-32
Food and tobacco processing workers,0.1,0.7,0.05,0.1,0.05,33,0.8,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,"269,200",6% (Faster than average),"16,400"
Food Chemist,0.2,0.3,0.4,0.05,0.05,54,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,81810,Bachelor's degree,"95,000",6% (Faster than average),"5,800"
Food Cooking Machine Operator,0.1,0.7,0.1,0.05,0.05,33,0.8,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,"269,200",6% (Faster than average),"16,400"
Food Counter Worker,0.05,0.7,0.05,0.2,0,72,0.75,https://www.bls.gov/ooh/food-preparation-and-serving/food-and-beverage-serving-and-related-workers.htm,28130,No formal educational credential,"4,540,700",2% (As fast as average),"79,700"
Food Dehydrator Operator,0.1,0.7,0.1,0.05,0.05,33,0.8,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,"269,200",6% (Faster than average),"16,400"
Food preparation workers,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,29790,No formal educational credential,"931,800",-5% (Decline),"-44,800"
Food Preparer,0.05,0.7,0.1,0.1,0.05,72,0.75,https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,29790,No formal educational credential,"931,800",-5% (Decline),"-44,800"
Food Preservation Scientist,0.3,0.2,0.4,0.05,0.05,55,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,74940,Bachelor's degree,"35,400",6% (Faster than average),"2,100"
Food Processing Scientist,0.3,0.2,0.4,0.1,0.1,33,0.4545454545,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,74940,Bachelor's degree,"35,400",6% (Faster than average),"2,100"
Food Quality Control Technician,0.2,0.4,0.2,0.1,0.1,33,0.6,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,46140,Associate's degree,"38,800",5% (Faster than average),"1,900"
Food Quality Technician,0.2,0.4,0.2,0.1,0.1,33,0.6,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,46140,Associate's degree,"38,800",5% (Faster than average),"1,900"
Food Safety Scientist,0.3,0.2,0.4,0.1,0.1,54,0.4545454545,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,74940,Bachelor's degree,"35,400",6% (Faster than average),"2,100"
Food Scientist,0.3,0.2,0.4,0.1,0.1,72,0.4545454545,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,74940,Bachelor's degree,"35,400",6% (Faster than average),"2,100"
Food Service Director,0.2,0.3,0.2,0.2,0.1,72,0.5,https://www.bls.gov/ooh/management/food-service-managers.htm,61310,High school diploma or equivalent,"357,500",0% (Little or no change),"1,600"
Food service managers,0.15,0.4,0.2,0.6,0.5,72,0.2972972973,https://www.bls.gov/ooh/management/food-service-managers.htm,61310,High school diploma or equivalent,"357,500",0% (Little or no change),"1,600"
Food Technologist,0.3,0.4,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,74940,Bachelor's degree,"35,400",6% (Faster than average),"2,100"
Foot and Ankle Surgeon,0.1,0.3,0.4,0.2,0,62,0.4,https://www.bls.gov/ooh/healthcare/podiatrists.htm,148720,Doctoral or professional degree,"10,600",1% (Little or no change),100
Football Coach,0.1,0.2,0.3,0.3,0.1,71,0.3,https://www.bls.gov/ooh/entertainment-and-sports/coaches-and-scouts.htm,44890,Bachelor's degree,"275,200",9% (Much faster than average),"25,300"
Foot Doctor,0.1,0.3,0.3,0.2,0.1,62,0.4,https://www.bls.gov/ooh/healthcare/podiatrists.htm,148720,Doctoral or professional degree,"10,600",1% (Little or no change),100
Foot Orthopedist,0.1,0.3,0.4,0.2,0.05,62,0.380952381,https://www.bls.gov/ooh/healthcare/podiatrists.htm,148720,Doctoral or professional degree,"10,600",1% (Little or no change),100
Foreign Banknote Teller,0.3,0.5,0.1,0.1,0,52,0.8,https://www.bls.gov/ooh/office-and-administrative-support/tellers.htm,36380,High school diploma or equivalent,"364,100",-15% (Decline),"-52,900"
Foreign Correspondent,0.3,0.2,0.3,0.2,0,51,0.5,https://www.bls.gov/ooh/media-and-communication/reporters-correspondents-and-broadcast-news-analysts.htm,55960,Bachelor's degree,"58,500",-3% (Decline),"-1,900"
Foreign Exchange Clerk,0.4,0.4,0.1,0.1,0,52,0.8,https://www.bls.gov/ooh/office-and-administrative-support/tellers.htm,36380,High school diploma or equivalent,"364,100",-15% (Decline),"-52,900"
Foreign Exchange Position Clerk,0.4,0.4,0.1,0.1,0,52,0.8,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,45860,"Some college, no degree","1,735,800",-6% (Decline),"-108,300"
Foreign Exchange Trader,0.7,0.2,0.7,0.3,0.2,52,0.4285714286,https://www.bls.gov/ooh/sales/securities-commodities-and-financial-services-sales-agents.htm,67480,Bachelor's degree,"482,200",7% (Faster than average),"35,600"
Forensic Analyst,0.7,0.2,0.7,0.2,0.1,54,0.4736842105,https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,63740,Bachelor's degree,"18,500",13% (Much faster than average),"2,300"
Forensic Materials Engineer,0.3,0.2,0.4,0.1,0,54,0.5,https://www.bls.gov/ooh/architecture-and-engineering/materials-engineers.htm,100140,Bachelor's degree,"22,300",5% (Faster than average),"1,100"
Forensic Psychiatrist,0.2,0.2,0.4,0.2,0,62,0.4,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600"
Forensic Psychologist,0.2,0.2,0.4,0.2,0,62,0.4,https://www.bls.gov/ooh/life-physical-and-social-science/psychologists.htm,85330,See How to Become One,"196,000",6% (Faster than average),"12,000"
Forensic science technicians,0.4,0.3,0.2,0.05,0.05,54,0.7,https://www.bls.gov/ooh/life-physical-and-social-science/forensic-science-technicians.htm,63740,Bachelor's degree,"18,500",13% (Much faster than average),"2,300"
Forensic Social Worker,0.2,0.3,0.3,0.7,0.1,62,0.3125,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,55350,See How to Become One,"728,600",7% (Faster than average),"53,800"
Forest and conservation workers,0.05,0.6,0.2,0.1,0.05,11,0.65,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,32270,High school diploma or equivalent,"11,300",-9% (Decline),"-1,000"
Forest Biometrics Professor,0.2,0.1,0.5,0.1,0.1,61,0.3,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Forest Ecologist,0.2,0.2,0.4,0.1,0.1,11,0.4,https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,64420,Bachelor's degree,"36,000",4% (As fast as average),"1,300"
Forest Ecology Professor,0.2,0.1,0.5,0.2,0.1,61,0.2727272727,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Forester Aide,0.1,0.4,0.2,0.2,0.1,11,0.5,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,32270,High school diploma or equivalent,"11,300",-9% (Decline),"-1,000"
Forest Fire Control Officer,0.1,0.3,0.3,0.2,0.1,11,0.4,https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,65800,See How to Become One,"17,400",5% (Faster than average),900
Forest Firefighter,0.05,0.6,0.2,0.1,0.05,11,0.65,https://www.bls.gov/ooh/protective-service/firefighters.htm,51680,Postsecondary nondegree award,"334,200",4% (As fast as average),"12,000"
Forest Fire Officer,0.1,0.4,0.3,0.2,0.2,11,0.4166666667,https://www.bls.gov/ooh/protective-service/fire-inspectors-and-investigators.htm,65800,See How to Become One,"17,400",5% (Faster than average),900
Forest Management Professor,0.2,0.1,0.4,0.2,0.1,61,0.3,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Forest Nursery Worker,0.05,0.7,0.1,0.1,0.05,11,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,32270,High school diploma or equivalent,"11,300",-9% (Decline),"-1,000"
Forest Pathology Professor,0.1,0.2,0.4,0.2,0.1,61,0.3,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Forest Resources Professor,0.2,0.1,0.4,0.2,0.1,61,0.3,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Forestry Laborer,0.05,0.7,0.1,0.1,0.05,11,0.75,https://www.bls.gov/ooh/farming-fishing-and-forestry/forest-and-conservation-workers.htm,32270,High school diploma or equivalent,"11,300",-9% (Decline),"-1,000"
Forestry Scientist,0.2,0.2,0.4,0.1,0.1,11,0.4,https://www.bls.gov/ooh/life-physical-and-social-science/conservation-scientists.htm,64420,Bachelor's degree,"36,000",4% (As fast as average),"1,300"
Forest Technology Professor,0.2,0.1,0.4,0.2,0.1,61,0.3,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Forging Roll Operator,0.05,0.7,0.1,0.05,0.1,33,0.75,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,"1,048,200",-6% (Decline),"-67,200"
Forklift Driver,0.05,0.8,0.05,0.05,0.05,48,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,41730,See How to Become One,"879,500",4% (As fast as average),"31,700"
Forklift Mechanic,0.1,0.6,0.2,0.05,0.05,81,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,58350,High school diploma or equivalent,"234,800",6% (Faster than average),"13,000"
Forklift Operator,0.05,0.8,0.05,0.05,0.05,48,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,41730,See How to Become One,"879,500",4% (As fast as average),"31,700"
Forklift Technician,0.1,0.6,0.2,0.05,0.05,81,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,58350,High school diploma or equivalent,"234,800",6% (Faster than average),"13,000"
Forming Roll Operator,0.1,0.7,0.1,0.05,0.05,33,0.8,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,"1,048,200",-6% (Decline),"-67,200"
Formulary Chemist,0.2,0.3,0.4,0.05,0.05,33,0.5,https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,81810,Bachelor's degree,"95,000",6% (Faster than average),"5,800"
Foster Care Social Worker,0.3,0.2,0.25,0.5,0.1,62,0.3703703704,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,55350,See How to Become One,"728,600",7% (Faster than average),"53,800"
Foster Care Worker,0.2,0.3,0.2,0.3,0.1,62,0.4545454545,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,55350,See How to Become One,"728,600",7% (Faster than average),"53,800"
Foundation Director,0.3,0.2,0.25,0.15,0.1,81,0.5,https://www.bls.gov/ooh/management/public-relations-managers.htm,125620,Bachelor's degree,"105,700",6% (Faster than average),"6,000"
Foundry Equipment Mechanic,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/installation-maintenance-and-repair/industrial-machinery-mechanics-and-maintenance-workers-and-millwrights.htm,59470,High school diploma or equivalent,"507,900",13% (Much faster than average),"64,700"
Foundry Molder,0.05,0.7,0.1,0.05,0.1,33,0.75,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,"1,048,200",-6% (Decline),"-67,200"
Four Slide Machine Setter,0.05,0.7,0.15,0.05,0.05,33,0.75,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,"1,048,200",-6% (Decline),"-67,200"
Fraternity House Cook,0.05,0.7,0.1,0.15,0,72,0.75,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,"2,729,300",6% (Faster than average),"175,300"
Free Lance Artist,0.7,0.1,0.6,0.3,0.1,71,0.4444444444,https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,53140,See How to Become One,"54,600",4% (As fast as average),"2,400"
Freight Brake Operator,0.05,0.7,0.1,0.1,0.05,48,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800
Freight Broker,0.4,0.3,0.2,0.6,0.2,48,0.4117647059,https://www.bls.gov/ooh/sales/wholesale-and-manufacturing-sales-representatives.htm,67750,See How to Become One,"1,649,900",1% (Little or no change),"20,500"
Freight Car Repairer,0.05,0.7,0.15,0.05,0.05,48,0.75,https://www.bls.gov/ooh/installation-maintenance-and-repair/heavy-vehicle-and-mobile-equipment-service-technicians.htm,58350,High school diploma or equivalent,"234,800",6% (Faster than average),"13,000"
Freight Checker,0.1,0.7,0.1,0.1,0,48,0.8,https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,40490,High school diploma or equivalent,"1,315,200",-4% (Decline),"-57,300"
Freight Clerk,0.3,0.5,0.1,0.1,0,48,0.8,https://www.bls.gov/ooh/office-and-administrative-support/material-recording-clerks.htm,40490,High school diploma or equivalent,"1,315,200",-4% (Decline),"-57,300"
Freight Conductor,0.1,0.6,0.1,0.1,0.1,48,0.7,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800
Freight Elevator Erector,0.05,0.6,0.2,0.1,0.05,23,0.65,https://www.bls.gov/ooh/construction-and-extraction/elevator-installers-and-repairers.htm,99000,High school diploma or equivalent,"25,100",1% (Little or no change),400
Freight Engineer,0.2,0.4,0.2,0.1,0.1,48,0.6,https://www.bls.gov/ooh/transportation-and-material-moving/railroad-occupations.htm,68960,High school diploma or equivalent,"78,600",1% (Little or no change),800
Freight Handler,0.05,0.7,0.1,0.1,0.05,48,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
French Professor,0.2,0.3,0.3,0.2,0,61,0.5,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Fresco Artist,0.1,0.3,0.5,0.1,0,71,0.4,https://www.bls.gov/ooh/arts-and-design/craft-and-fine-artists.htm,53140,See How to Become One,"54,600",4% (As fast as average),"2,400"
Front-End Loader Operator,0.05,0.8,0.1,0.05,0,23,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/material-moving-machine-operators.htm,41730,See How to Become One,"879,500",4% (As fast as average),"31,700"
Front Desk Receptionist,0.3,0.5,0.1,0.7,0.05,72,0.4848484848,https://www.bls.gov/ooh/office-and-administrative-support/receptionists.htm,33960,High school diploma or equivalent,"1,068,800",0% (Little or no change),"3,900"
Frozen Yogurt Maker,0.05,0.7,0.1,0.1,0.05,72,0.75,https://www.bls.gov/ooh/production/food-and-tobacco-processing-workers.htm,36190,See How to Become One,"269,200",6% (Faster than average),"16,400"
Fruit and Vegetable Parer,0.05,0.8,0.05,0.1,0,11,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/food-preparation-workers.htm,29790,No formal educational credential,"931,800",-5% (Decline),"-44,800"
Fruit Buyer,0.2,0.4,0.2,0.2,0.1,11,0.5454545455,https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,75120,Bachelor's degree,"571,900",-6% (Decline),"-34,600"
Fruit Sprayer,0.05,0.8,0.05,0.1,0,11,0.85,https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,36160,See How to Become One,"1,281,600",3% (As fast as average),"44,200"
Fryline Attendant,0.05,0.8,0.05,0.1,0,72,0.85,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,"2,729,300",6% (Faster than average),"175,300"
Fuels Engineer,0.3,0.2,0.3,0.1,0.1,22,0.5,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,106260,Bachelor's degree,"20,800",8% (Faster than average),"1,700"
Fuel Truck Driver,0.05,0.7,0.1,0.1,0.05,48,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,49920,Postsecondary nondegree award,"2,192,300",4% (As fast as average),"89,300"
Fumigator,0.05,0.7,0.1,0.1,0.05,56,0.75,https://www.bls.gov/ooh/building-and-grounds-cleaning/pest-control-workers.htm,38310,High school diploma or equivalent,"95,000",3% (As fast as average),"3,000"
Fund Accountant,0.7,0.6,0.4,0.2,0.1,52,0.65,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,78000,Bachelor's degree,"1,538,400",4% (As fast as average),"67,400"
Funding Coordinator,0.4,0.3,0.2,0.1,0.1,52,0.6363636364,https://www.bls.gov/ooh/management/public-relations-managers.htm,125620,Bachelor's degree,"105,700",6% (Faster than average),"6,000"
Fundraisers,0.3,0.2,0.25,0.5,0.2,81,0.3448275862,https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,61190,Bachelor's degree,"124,000",5% (Faster than average),"6,500"
Fundraising Director,0.4,0.2,0.2,0.6,0.4,81,0.3333333333,https://www.bls.gov/ooh/management/public-relations-managers.htm,125620,Bachelor's degree,"105,700",6% (Faster than average),"6,000"
Fundraising Officer,0.4,0.2,0.2,0.2,0.1,81,0.5454545455,https://www.bls.gov/ooh/business-and-financial/fundraisers.htm,61190,Bachelor's degree,"124,000",5% (Faster than average),"6,500"
Funeral Arrangement Director,0.2,0.4,0.2,0.8,0.4,81,0.3,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,58820,Associate's degree,"60,800",3% (As fast as average),"1,700"
Funeral Arranger,0.2,0.4,0.2,0.8,0.2,81,0.3333333333,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,58820,Associate's degree,"60,800",3% (As fast as average),"1,700"
Funeral Car Driver,0.05,0.7,0.05,0.2,0,81,0.75,https://www.bls.gov/ooh/transportation-and-material-moving/taxi-drivers-and-chauffeurs.htm,32440,No formal educational credential,"395,700",14% (Much faster than average),"54,000"
Funeral Home Director,0.2,0.4,0.2,0.6,0.4,81,0.3333333333,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,58820,Associate's degree,"60,800",3% (As fast as average),"1,700"
Funeral Home Makeup Artist,0.05,0.6,0.2,0.15,0,81,0.65,https://www.bls.gov/ooh/personal-care-and-service/barbers-hairstylists-and-cosmetologists.htm,33400,Postsecondary nondegree award,"618,900",8% (Faster than average),"47,200"
Funeral Home Manager,0.2,0.3,0.2,0.2,0.1,81,0.5,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,58820,Associate's degree,"60,800",3% (As fast as average),"1,700"
Funeral Service Manager,0.2,0.3,0.2,0.2,0.1,81,0.5,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,58820,Associate's degree,"60,800",3% (As fast as average),"1,700"
Funeral service workers,0.1,0.4,0.2,0.3,0.1,81,0.4545454545,https://www.bls.gov/ooh/personal-care-and-service/funeral-service-occupations.htm,58820,Associate's degree,"60,800",3% (As fast as average),"1,700"
Furnace Converter,0.05,0.7,0.1,0.1,0.05,33,0.75,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,51390,Postsecondary nondegree award,"415,800",6% (Faster than average),"23,000"
Furnace Fitter,0.05,0.7,0.1,0.1,0.05,33,0.75,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,51390,Postsecondary nondegree award,"415,800",6% (Faster than average),"23,000"
Furnace Mason,0.05,0.7,0.15,0.1,0,23,0.75,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,49490,See How to Become One,"294,200",-3% (Decline),"-8,900"
Furniture Arranger,0.1,0.6,0.2,0.1,0,44,0.7,https://www.bls.gov/ooh/arts-and-design/interior-designers.htm,61590,Bachelor's degree,"94,900",4% (As fast as average),"3,700"
Furniture Designer,0.3,0.2,0.4,0.1,0.05,33,0.4761904762,https://www.bls.gov/ooh/arts-and-design/industrial-designers.htm,75910,Bachelor's degree,"32,400",2% (As fast as average),700
Furniture Refinisher,0.05,0.7,0.2,0.05,0,33,0.75,https://www.bls.gov/ooh/production/woodworkers.htm,37590,High school diploma or equivalent,"238,900",-1% (Little or no change),"-2,700"
Furniture Sander,0.05,0.8,0.05,0.05,0.05,33,0.85,https://www.bls.gov/ooh/production/woodworkers.htm,37590,High school diploma or equivalent,"238,900",-1% (Little or no change),"-2,700"
Fur Trapper,0.05,0.7,0.15,0.1,0.05,11,0.7142857143,https://www.bls.gov/ooh/farming-fishing-and-forestry/fishers-and-related-fishing-workers.htm,,No formal educational credential,"27,300",0% (Little or no change),-100
Gaffer,0.1,0.4,0.2,0.2,0.1,51,0.5,https://www.bls.gov/ooh/media-and-communication/broadcast-and-sound-engineering-technicians.htm,53960,See How to Become One,"142,800",2% (As fast as average),"2,500"
Gage Designer,0.3,0.4,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,60400,Associate's degree,"197,300",-2% (Decline),"-4,300"
Galactic Astronomer,0.4,0.2,0.35,0.05,0,54,0.6,https://www.bls.gov/ooh/life-physical-and-social-science/physicists-and-astronomers.htm,139220,Doctoral or professional degree,"23,600",5% (Faster than average),"1,100"
Galley Cook,0.05,0.7,0.1,0.1,0.05,72,0.75,https://www.bls.gov/ooh/food-preparation-and-serving/cooks.htm,30910,See How to Become One,"2,729,300",6% (Faster than average),"175,300"
Galvanizer,0.05,0.7,0.1,0.1,0.05,33,0.75,https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,41060,See How to Become One,"1,048,200",-6% (Decline),"-67,200"
Gambling Cage Cashier,0.2,0.6,0.1,0.1,0,71,0.8,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,"1,312,000",-4% (Decline),"-54,900"
Gambling Cashier,0.2,0.6,0.1,0.1,0,71,0.8,https://www.bls.gov/ooh/office-and-administrative-support/financial-clerks.htm,45570,High school diploma or equivalent,"1,312,000",-4% (Decline),"-54,900"
Gambling Department Head,0.3,0.2,0.2,0.2,0.1,71,0.5,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Gambling Director,0.3,0.2,0.2,0.2,0.1,71,0.5,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Gambling Manager,0.3,0.4,0.1,0.5,0.6,71,0.3684210526,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Gambling Monitor,0.3,0.4,0.1,0.2,0,71,0.7,https://www.bls.gov/ooh/protective-service/security-guards.htm,34770,High school diploma or equivalent,"1,166,700",-1% (Little or no change),"-14,800"
Gambling services workers,0.1,0.6,0.1,0.2,0.05,71,0.6666666667,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Gambling Supervisor,0.1,0.4,0.2,0.2,0.1,71,0.5,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,31290,High school diploma or equivalent,"132,100",1% (Little or no change),"1,700"
Gambling Surveillance Observer,0.3,0.5,0.1,0.1,0,71,0.8,https://www.bls.gov/ooh/protective-service/security-guards.htm,34770,High school diploma or equivalent,"1,166,700",-1% (Little or no change),"-14,800"
Gambling Surveillance Officer,0.4,0.4,0.1,0.1,0,71,0.8,https://www.bls.gov/ooh/protective-service/security-guards.htm,34770,High school diploma or equivalent,"1,166,700",-1% (Little or no change),"-14,800"
Game Show Host,0.1,0.3,0.2,0.4,0.1,71,0.3636363636,https://www.bls.gov/ooh/media-and-communication/announcers.htm,,See How to Become One,"51,800",-4% (Decline),"-2,200"
Game Warden,0.2,0.4,0.2,0.2,0.1,11,0.5454545455,https://www.bls.gov/ooh/protective-service/police-and-detectives.htm,69160,See How to Become One,"808,700",3% (As fast as average),"23,800"
Garbage Collector,0.05,0.8,0.05,0.1,0,56,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/hand-laborers-and-material-movers.htm,34960,See How to Become One,"7,099,400",5% (Faster than average),"353,400"
Garbage Truck Driver,0.05,0.8,0.05,0.05,0.05,56,0.85,https://www.bls.gov/ooh/transportation-and-material-moving/heavy-and-tractor-trailer-truck-drivers.htm,49920,Postsecondary nondegree award,"2,192,300",4% (As fast as average),"89,300"
Gas Distribution and Emergency Clerk,0.4,0.4,0.1,0.1,0.05,22,0.7619047619,https://www.bls.gov/ooh/office-and-administrative-support/customer-service-representatives.htm,37780,High school diploma or equivalent,"2,982,900",-5% (Decline),"-162,700"
Gas Furnace Installer,0.05,0.6,0.2,0.1,0.05,23,0.65,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,51390,Postsecondary nondegree award,"415,800",6% (Faster than average),"23,000"
Gas Main Fitter,0.05,0.7,0.1,0.15,0,22,0.75,https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,60090,High school diploma or equivalent,"482,700",2% (As fast as average),"10,900"
Gas Main Fitter Helper,0.05,0.7,0.1,0.1,0.05,22,0.75,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,39520,See How to Become One,"1,624,800",4% (As fast as average),"57,900"
Gas Plumber,0.1,0.6,0.2,0.1,0.05,23,0.6666666667,https://www.bls.gov/ooh/construction-and-extraction/plumbers-pipefitters-and-steamfitters.htm,60090,High school diploma or equivalent,"482,700",2% (As fast as average),"10,900"
Gastroenterologist,0.1,0.3,0.4,0.2,0.05,62,0.380952381,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,229300,Doctoral or professional degree,"816,900",3% (As fast as average),"24,600"
Gastroenterology Nurse Practitioner,0.2,0.3,0.3,0.2,0,62,0.5,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,125900,Master's degree,"323,900",38% (Much faster than average),"123,600"
Gastroenterology Professor,0.1,0.2,0.4,0.3,0.1,61,0.2727272727,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,80840,See How to Become One,"1,333,900",8% (Faster than average),"108,100"
Gas Turbine Assembler,0.1,0.6,0.2,0.05,0.05,33,0.7,https://www.bls.gov/ooh/production/assemblers-and-fabricators.htm,37930,High school diploma or equivalent,"1,961,900",-6% (Decline),"-125,700"
Gate Agent,0.3,0.5,0.1,0.7,0.1,48,0.4705882353,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,38710,See How to Become One,"1,382,600",-4% (Decline),"-54,000"
