Job Title,Digital Work,Routine Work,Cognitive/ Innovation Work,Interpersonal Work,Management Work,Education Level,2 Digit NAICS Industy
Histologic Technician,30%,50%,15%,5%,0%,Associates,62
Histologist Technologist,30%,40%,20%,5%,5%,Bachelors,62
Histology Technician,30%,50%,15%,5%,0%,Associates,62
Histopathologist,30%,40%,20%,5%,5%,Doctorate,62
Historians,20%,30%,40%,10%,5%,PhD,54
Historical Records Administrator,60%,20%,10%,5%,5%,Bachelors,51
Historiographer,40%,20%,30%,10%,0%,Masters,71
Historiography Professor,20%,10%,50%,15%,5%,PhD,61
Histotechnician,20%,50%,20%,5%,5%,Associates,62
Histotechnologist,30%,40%,20%,10%,0%,Bachelors,62
Hockey Scout,30%,20%,30%,20%,10%,Bachelors,71
Hog Buyer,10%,60%,10%,20%,5%,Highschool,11
Hoist Operator,5%,80%,5%,5%,5%,Highschool,53
Home-based Preschool Teacher,30%,40%,20%,70%,10%,Associates,61
Home and Family Living Professor,30%,20%,30%,20%,10%,PhD,61
Home Economics Professor,20%,20%,30%,30%,10%,PhD,61
Home health and personal care aides,10%,60%,10%,80%,5%,Highschool,62
Home Health Attendant,5%,60%,10%,25%,0%,Highschool,62
Home Hospice Aide,10%,40%,20%,30%,0%,Professional Certificate,62
Home Inspector,10%,40%,30%,20%,0%,Professional Certificate,53
Home Lighting Adviser,20%,30%,25%,25%,0%,Associates,44
Home Mortgage Disclosure Act Specialist,70%,20%,10%,20%,10%,Bachelors,52
Homeowner Association Manager,40%,30%,10%,20%,50%,Bachelors,53
Homicide Detective,20%,30%,40%,60%,10%,Bachelors,92
Honey Blender,5%,70%,10%,10%,5%,Highschool,31
Hopper Feeder,5%,80%,5%,10%,0%,Highschool,31
Hopper Filler,5%,80%,5%,5%,5%,Highschool,31
Horizontal Boring Mill Operator for Metal,5%,70%,20%,5%,0%,Highschool,33
Horn Player,5%,30%,40%,25%,0%,Professional Certificate,71
Horse Breaker,5%,60%,20%,15%,0%,None,11
Horse Breeder,10%,40%,20%,20%,10%,Highschool,11
Horse Exerciser,5%,70%,15%,10%,0%,Highschool,71
Horse Show Judge,10%,30%,40%,20%,0%,Professional Certificate,71
Horticulture Instructor,10%,30%,30%,20%,10%,Bachelors,61
Horticulturist,20%,40%,20%,10%,10%,Bachelors,11
Hospice Director,30%,20%,25%,40%,60%,Masters,62
Hospice Home Care Social Worker,20%,30%,20%,30%,0%,Masters,62
Hospice Plan Administrator,30%,20%,25%,15%,10%,Bachelors,62
Hospice Registered Nurse,10%,40%,20%,30%,5%,Bachelors,62
Hospice Social Worker,20%,30%,30%,70%,10%,Masters,62
Hospital Administrator,40%,20%,20%,60%,80%,Masters,62
Hospital Aide,10%,60%,10%,20%,0%,Highschool,62
Hospital Attendant,10%,60%,10%,20%,0%,Highschool,62
Hospital Director,30%,20%,25%,15%,10%,Masters,62
Hospital Food Service Worker,10%,70%,5%,15%,0%,Highschool,62
Hospital Orderly,5%,70%,5%,20%,0%,Highschool,62
Hospital Pharmacist,30%,40%,20%,10%,0%,Doctorate,62
Hospital Secretary,40%,40%,10%,70%,10%,Associates,62
Hospital Social Worker,20%,30%,20%,30%,0%,Masters,62
Hot Dog Vender,5%,70%,5%,20%,10%,None,72
Hotel Desk Clerk,30%,50%,10%,70%,10%,Highschool,72
Hotel Dining Room Cashier,20%,60%,10%,50%,10%,Highschool,72
Hotel Director,30%,20%,20%,20%,10%,Bachelors,72
Hotel Front Desk Clerk,30%,50%,10%,70%,10%,Highschool,72
Hotel Manager,30%,20%,20%,20%,10%,Bachelors,72
Hotel Operations Manager,30%,20%,20%,20%,10%,Bachelors,72
Hotel Registration Clerk,40%,40%,10%,70%,10%,Highschool,72
Hotel Reservationist,70%,60%,20%,50%,10%,Highschool,72
Hotel Shuttle Driver,5%,70%,10%,15%,0%,Highschool,72
Hotel Supplies Salesperson,20%,40%,20%,20%,10%,Highschool,44
Hot Tar Roofer,5%,70%,10%,10%,5%,Highschool,23
Hot Tar Roofer Helper,5%,80%,5%,10%,0%,Highschool,23
House Carpenter,5%,70%,15%,10%,5%,Highschool,23
House Carpenter Helper,5%,70%,10%,15%,0%,Highschool,23
House Painter,5%,70%,10%,10%,5%,Highschool,23
House Painter Helper,5%,70%,10%,15%,0%,None,23
House Wirer,5%,70%,15%,5%,5%,Professional Certificate,23
House Wirer Helper,5%,70%,10%,15%,0%,Highschool,23
HR Clerk,60%,30%,5%,40%,5%,Associates,54
Human Performance Professor,20%,10%,40%,20%,10%,PhD,61
Human Relations Professor,20%,10%,40%,30%,10%,PhD,61
Human Resources Generalist,40%,30%,20%,70%,40%,Bachelors,54
Human resources managers,40%,20%,20%,60%,60%,Bachelors,54
Human Resources Psychologist,30%,20%,30%,20%,10%,Masters,62
Human resources specialists,40%,30%,20%,70%,20%,Bachelors,54
Human Services Worker,30%,40%,20%,70%,10%,Bachelors,62
Hurricane Tracker,40%,30%,20%,10%,0%,Bachelors,54
HVAC Instructor,10%,30%,30%,30%,10%,Professional Certificate,61
HVAC Sheet Metal Installer Helper,5%,70%,10%,15%,0%,Highschool,23
Hybrid Car Mechanic,10%,60%,20%,5%,5%,Professional Certificate,81
Hydraulic Elevator Constructor,10%,60%,20%,5%,5%,Professional Certificate,23
Hydraulic Lift Driver,5%,70%,10%,10%,5%,Highschool,81
Hydraulic Pile Hammer Operator,5%,70%,15%,10%,0%,Professional Certificate,23
Hydraulic Plumber,10%,60%,20%,10%,0%,Professional Certificate,23
Hydraulic Plumber Helper,5%,60%,10%,20%,5%,Highschool,23
Hydraulic Press-In Operator,5%,70%,10%,5%,10%,Highschool,33
Hydraulic Technician,10%,40%,30%,10%,10%,Professional Certificate,23
Hydrodynamics Professor,20%,10%,50%,15%,5%,PhD,61
Hydroelectric Machinery Mechanic,10%,60%,20%,5%,5%,Professional Certificate,22
Hydroelectric Plant Operator,30%,40%,20%,5%,5%,Associates,22
Hydrogeologist,30%,20%,40%,10%,10%,Masters,54
Hydrographic Engineer,40%,20%,30%,5%,5%,Bachelors,54
Hydrologists,30%,20%,40%,10%,5%,Masters,54
Hydrometer Calibrator,20%,50%,20%,5%,5%,Associates,33
I/O Psychologist,40%,10%,40%,30%,20%,PhD,54
Ice Cream Maker,5%,70%,10%,10%,5%,Highschool,31
Ice Cream Server,5%,70%,5%,20%,0%,None,72
Ice Sculptor,5%,60%,30%,5%,0%,Professional Certificate,71
Ice Skating Coach,5%,30%,25%,35%,5%,Professional Certificate,71
Ichthyologist,20%,30%,40%,10%,5%,PhD,54
Illuminating Engineer,30%,20%,30%,10%,10%,Bachelors,54
Image Archivist,70%,50%,40%,20%,10%,Bachelors,51
Immunochemist,30%,20%,40%,5%,5%,PhD,54
Immunohematologist,20%,30%,40%,10%,0%,Masters,62
Immunologist,30%,20%,40%,10%,5%,PhD,62
Immunopathologist,20%,10%,50%,15%,5%,Doctorate,62
In-Flight Refueling System Repairer,10%,40%,30%,10%,10%,Associates,48
Income Tax Adjuster,40%,40%,10%,10%,0%,Bachelors,54
Incoming Freight Clerk,40%,40%,10%,10%,0%,Highschool,48
Independent Film Maker,40%,20%,25%,10%,5%,Bachelors,51
Independent Insurance Adjuster,40%,30%,20%,60%,10%,Professional Certificate,52
Independent Video Producer,70%,10%,50%,30%,20%,Bachelors,51
Index Clerk,70%,80%,10%,20%,5%,Highschool,51
Index Editor,70%,20%,10%,0%,0%,Bachelors,51
Individual Pension Adviser,30%,20%,30%,20%,0%,Bachelors,52
Individual Pension Consultant,70%,20%,60%,50%,30%,Bachelors,52
Induction Machine Setter,10%,70%,10%,5%,5%,Highschool,33
Industrial/Organizational Psychology Professor,40%,20%,30%,10%,0%,PhD,61
Industrial Aerial Installer,10%,60%,20%,5%,5%,Highschool,23
Industrial Analyst,60%,20%,50%,30%,40%,Bachelors,31
Industrial Chemist,30%,40%,20%,5%,5%,Bachelors,32
Industrial Conveyor Belt Repairer,5%,70%,15%,5%,5%,Highschool,31
Industrial designers,40%,20%,30%,5%,5%,Bachelors,54
Industrial Economics Professor,30%,10%,40%,15%,5%,PhD,61
Industrial Economist,70%,10%,80%,40%,30%,Masters,54
Industrial Electrical Technology Instructor,30%,20%,30%,15%,5%,Professional Certificate,61
Industrial Engineering Professor,30%,10%,40%,15%,5%,PhD,61
Industrial Engineering Technician,40%,30%,20%,5%,5%,Associates,31
Industrial Engineering Technologist,40%,30%,20%,5%,5%,Bachelors,31
Industrial engineering technologists and technicians,40%,30%,20%,5%,5%,Associates,31
Industrial engineers,40%,30%,20%,5%,5%,Bachelors,31
Industrial Gas Fitter,10%,60%,20%,10%,5%,Professional Certificate,22
Industrial Gas Fitter Helper,5%,60%,10%,15%,10%,Highschool,22
Industrial Hygienist,30%,20%,30%,15%,5%,Bachelors,62
"Industrial machinery mechanics, machinery maintenance workers, and millwrights",20%,50%,20%,10%,0%,Associates,31
Industrial Maintenance Instructor,20%,30%,25%,15%,10%,Professional Certificate,61
Industrial Painter,5%,70%,10%,10%,5%,Highschool,23
Industrial Pharmacist,30%,20%,40%,10%,20%,PhD,32
Industrial Photographer,70%,20%,40%,30%,10%,Associates,51
Industrial Plant Custodian,5%,70%,10%,10%,5%,Highschool,31
Industrial Production Manager,30%,20%,25%,15%,10%,Bachelors,31
Industrial production managers,30%,20%,25%,15%,10%,Bachelors,31
Industrial Psychologist,40%,20%,30%,60%,20%,PhD,54
Industrial Psychology Professor,30%,10%,40%,20%,10%,PhD,61
Industrial Real Estate Agent,30%,20%,25%,20%,5%,Bachelors,53
Industrial Relations Analyst,60%,20%,50%,40%,30%,Bachelors,54
Industrial Relations Specialist,40%,20%,20%,20%,10%,Bachelors,54
Industrial Robotics Mechanic,40%,30%,20%,5%,5%,Associates,33
Industrial Roofer,5%,70%,10%,10%,5%,Highschool,23
Industrial Roofer Helper,5%,70%,10%,10%,5%,Highschool,23
Industrial Safety and Health Specialist,30%,20%,30%,15%,5%,Bachelors,62
Industrial Safety Engineer,30%,20%,30%,15%,5%,Bachelors,54
Industrial Truck Operator,10%,70%,10%,5%,5%,Highschool,49
Industrial Waste Treatment Technician,20%,40%,25%,10%,5%,Associates,22
Infectious Waste Technician,10%,70%,10%,5%,5%,Highschool,62
Information clerks,40%,40%,10%,70%,5%,Highschool,56
Information Security Analyst,80%,10%,70%,20%,10%,Bachelors,54
Information security analysts,80%,10%,70%,30%,20%,Bachelors,54
Information Systems Analyst,80%,10%,70%,30%,20%,Bachelors,54
Information Systems Director,70%,10%,60%,40%,70%,Masters,54
Information Systems Manager,80%,10%,60%,40%,70%,Bachelors,54
Information Systems Planner,80%,10%,70%,40%,30%,Bachelors,54
Information Systems Professor,70%,10%,80%,40%,20%,PhD,61
Information Systems Security Analyst,80%,10%,70%,20%,10%,Bachelors,54
Information Technology Director,70%,10%,40%,30%,50%,Masters,54
Information Technology Professor,70%,10%,60%,40%,20%,PhD,61
Information Technology Systems Director,70%,10%,10%,5%,5%,Bachelors,54
Ingot Caster,5%,70%,10%,5%,10%,Highschool,33
Inhalation Therapist,10%,40%,30%,20%,0%,Associates,62
Innkeeper,20%,40%,10%,20%,10%,Highschool,72
Inorganic Chemical Technician,30%,40%,20%,5%,5%,Bachelors,32
Inorganic Chemist,20%,30%,40%,5%,5%,PhD,54
Inorganic Chemistry Professor,20%,20%,40%,20%,10%,PhD,61
Insecticide Expert,20%,30%,30%,10%,10%,Bachelors,11
Inside Sales Advertising Executive,70%,20%,40%,60%,10%,Bachelors,51
Installment Agent,30%,40%,10%,20%,0%,Highschool,52
Installment Loan Collector,40%,40%,10%,10%,0%,Highschool,52
Institutional Commodity Analyst,60%,20%,70%,30%,20%,Masters,52
Institutional Cook,5%,70%,10%,10%,5%,Highschool,72
Instructional coordinators,40%,20%,30%,60%,20%,Masters,61
Instructional Materials Director,40%,20%,20%,10%,10%,Masters,61
Instrumentalist,10%,40%,30%,20%,0%,Professional Certificate,71
Insulation Machine Operator,10%,70%,10%,5%,5%,Highschool,23
Insulation workers,5%,70%,10%,15%,5%,Highschool,23
Insurance Actuary,70%,20%,70%,20%,10%,Bachelors,52
Insurance Agent,30%,40%,10%,20%,5%,Highschool,52
Insurance Analyst,70%,20%,60%,30%,10%,Bachelors,52
Insurance Attorney,40%,20%,30%,10%,10%,Professional Certificate,54
Insurance Broker,40%,30%,20%,60%,10%,Bachelors,52
Insurance Claims Clerk,70%,60%,30%,40%,10%,Associates,52
Insurance Clerk,70%,60%,20%,30%,10%,Associates,52
Insurance Collector,40%,40%,10%,10%,0%,Highschool,52
Insurance Employee Trainer,40%,20%,20%,20%,10%,Bachelors,52
Insurance Examining Clerk,60%,30%,5%,5%,0%,Highschool,52
Insurance Policy Issue Clerk,70%,20%,5%,5%,0%,Highschool,52
Insurance sales agents,30%,40%,20%,70%,10%,Highschool,52
Insurance Underwriter,40%,30%,20%,10%,0%,Bachelors,52
Insurance underwriters,40%,30%,20%,5%,5%,Bachelors,52
Insurance Writer,70%,20%,60%,30%,10%,Bachelors,52
Interior Decorator,20%,30%,30%,15%,5%,Associates,54
Interior Designer,30%,20%,30%,15%,5%,Bachelors,54
Interior designers,30%,20%,30%,15%,5%,Bachelors,54
Interior Design Professor,20%,10%,40%,20%,10%,Masters,61
Interior Surface Insulation Worker,5%,70%,15%,5%,5%,Highschool,23
Interlibrary Loan Services Librarian,40%,30%,20%,10%,0%,Masters,51
Intermediate School Social Studies Teacher,30%,30%,25%,70%,5%,Bachelors,61
Internal Auditor,40%,30%,20%,5%,5%,Bachelors,52
Internal Medicine Nurse Practitioner,20%,30%,30%,20%,0%,Masters,62
Internal Medicine Pediatrician,10%,20%,40%,30%,5%,Doctorate,62
Internal Medicine Physician,20%,30%,30%,20%,0%,Doctorate,62
Internal Revenue Agent,40%,30%,20%,10%,0%,Bachelors,92
Internal Revenue Service Agent,40%,30%,20%,10%,0%,Bachelors,92
International Bank Manager,40%,20%,20%,10%,10%,Masters,52
International Relations Professor,30%,10%,40%,20%,10%,PhD,61
International Student Counselor,30%,20%,25%,25%,10%,Masters,61
Internet Marketing Manager,80%,20%,60%,40%,50%,Bachelors,54
Internet Technology Manager,80%,10%,40%,30%,40%,Bachelors,54
Internist,20%,30%,30%,15%,5%,Doctorate,62
Interpersonal Communications Professor,20%,10%,30%,40%,10%,PhD,61
Interpreters and translators,20%,30%,40%,70%,10%,Bachelors,54
Interventional Cardiologist,10%,20%,40%,20%,10%,Doctorate,62
Interventional Radiologist,20%,30%,30%,15%,5%,Doctorate,62
Intranet Developer,90%,30%,60%,10%,10%,Bachelors,54
Inventory Control Clerk,40%,40%,10%,5%,5%,Highschool,42
Inventory Taker,20%,70%,5%,5%,0%,Highschool,44
Investigative Reporter,40%,20%,30%,10%,0%,Bachelors,51
Investment Banker,40%,20%,30%,40%,30%,Bachelors,52
Invisible Braces Orthodontist,20%,30%,30%,20%,0%,Doctorate,62
Invoice Clerk,70%,80%,20%,10%,5%,Highschool,56
Invoice Control Clerk,70%,20%,5%,5%,0%,Highschool,56
Iron Guardrail Installer,5%,70%,10%,10%,5%,Highschool,23
Iron Pourer,5%,70%,10%,10%,5%,Highschool,33
Ironworkers,5%,70%,10%,10%,5%,Highschool,23
Irradiated Fuel Handler,5%,60%,20%,10%,5%,Associates,22
Irrigation Equipment Mechanic,10%,60%,20%,5%,5%,Professional Certificate,11
Irrigation Worker,5%,70%,10%,10%,5%,Highschool,11
Isotope Hydrologist,30%,20%,40%,5%,5%,PhD,54
Isotope Technologist,30%,40%,20%,5%,5%,Bachelors,62
IT Professor,70%,10%,60%,40%,20%,PhD,61
IT Programmer,90%,40%,50%,20%,10%,Bachelors,54
IT Risk Specialist,80%,10%,60%,30%,20%,Bachelors,54
IT Support Specialist,80%,50%,40%,30%,10%,Associates,54
Jail Guard,5%,60%,10%,20%,5%,Highschool,92
Janitor,5%,80%,5%,10%,0%,Highschool,56
Janitors and building cleaners,5%,80%,5%,10%,0%,None,56
Japanese Professor,20%,20%,40%,20%,10%,PhD,61
Java Programming Professor,40%,20%,30%,10%,0%,PhD,61
Jet Engine Assembler,10%,60%,20%,5%,5%,Associates,33
Jet Engine Mechanic,10%,60%,20%,5%,5%,Professional Certificate,33
Jewel Bearing Facer,5%,70%,15%,5%,5%,Highschool,33
Jewelers and precious stone and metal workers,10%,60%,20%,5%,5%,Professional Certificate,33
Jewelry Repairer,5%,70%,20%,5%,0%,Professional Certificate,44
Jewelsmith,5%,60%,25%,5%,5%,Professional Certificate,33
Jewish History Professor,20%,20%,40%,20%,10%,PhD,61
Jig Bore Tool Maker,10%,60%,20%,5%,5%,Professional Certificate,33
Jig Boring Machine Operator,5%,70%,20%,5%,0%,Highschool,33
Job Analysis Manager,40%,20%,20%,10%,10%,Masters,54
Job Analyst,40%,30%,20%,10%,0%,Bachelors,54
Job Estimator,40%,30%,20%,10%,0%,Associates,23
Job Placement Officer,40%,30%,20%,60%,10%,Bachelors,61
Job Placement Specialist,60%,20%,40%,70%,10%,Bachelors,56
Job Recruiter,40%,30%,20%,70%,20%,Bachelors,56
Job Specification Writer,70%,20%,60%,40%,10%,Bachelors,54
Job Training Specialist,30%,20%,25%,25%,10%,Bachelors,61
Joint Preservationist,10%,30%,40%,20%,0%,Professional Certificate,62
Journalism Professor,30%,10%,40%,15%,5%,PhD,61
Journalist,40%,20%,30%,10%,0%,Bachelors,51
Judges and hearing officers,10%,20%,50%,15%,5%,Doctorate,92
Junior High School Business Teacher,30%,30%,20%,20%,0%,Bachelors,61
Junior High School Principal,30%,20%,20%,20%,10%,Masters,61
Junior High School Special Education Teacher,20%,30%,25%,25%,0%,Masters,61
Junior High School Teacher,15%,30%,25%,25%,5%,Bachelors,61
Junior Software Developer,90%,40%,50%,20%,5%,Bachelors,54
Jurist,30%,20%,40%,10%,10%,Professional Certificate,54
Justice,10%,10%,40%,30%,10%,Doctorate,92
Justice of The Peace,10%,30%,30%,20%,10%,Professional Certificate,92
Juvenile Corrections Officer,10%,40%,20%,30%,10%,Associates,92
Juvenile Probation Officer,20%,30%,25%,25%,10%,Bachelors,92
K-12 School Principal,30%,20%,25%,40%,60%,Masters,61
K-8 School Principal,30%,20%,25%,40%,60%,Masters,61
Kennel Aide,5%,70%,10%,15%,0%,Highschool,81
Kennel Attendant,10%,70%,5%,10%,5%,Highschool,81
Kennel Helper,5%,70%,5%,20%,0%,None,81
Kennel Worker,10%,70%,5%,15%,0%,Highschool,81
Keno Dealer,10%,70%,5%,15%,0%,Highschool,71
Keno Runner,5%,70%,5%,20%,0%,Highschool,71
Keno Writer,10%,70%,10%,10%,0%,Highschool,71
Kettle Fry Cook Operator,5%,70%,10%,10%,5%,Highschool,31
Kindergarten and elementary school teachers,10%,40%,30%,80%,10%,Bachelors,61
Kindergarten Special Education Teacher,10%,30%,30%,30%,10%,Bachelors,61
Kindergarten Teacher,10%,40%,20%,30%,5%,Bachelors,61
Kinesiology Professor,20%,20%,30%,30%,10%,PhD,61
Kinesiotherapist,10%,30%,30%,30%,10%,Bachelors,62
Kitchen and Bath Designer,30%,20%,30%,15%,5%,Associates,23
Kitchen Chef,5%,60%,20%,10%,5%,Professional Certificate,72
Kitchen Designer,30%,20%,30%,20%,10%,Associates,23
Kosher Butcher,5%,70%,10%,15%,5%,Professional Certificate,44
Laboratory Animal Caretaker,10%,60%,10%,15%,5%,Highschool,54
Laboratory Chemist,20%,40%,30%,5%,5%,Bachelors,54
Labor Economics Professor,40%,20%,30%,10%,0%,PhD,61
Labor Economist,40%,20%,30%,10%,20%,PhD,62
Labor Law Professor,40%,20%,30%,10%,0%,Doctorate,61
Labor Relations Consultant,30%,20%,30%,20%,10%,Masters,54
Labor Relations Director,40%,20%,20%,60%,50%,Masters,54
Labor Relations Representative,40%,20%,20%,60%,30%,Bachelors,54
Labor relations specialists,30%,20%,25%,40%,15%,Bachelors,54
Labor Training Manager,30%,20%,25%,40%,60%,Bachelors,61
Lacquerer,5%,70%,10%,10%,5%,Highschool,33
Lacquer Spray Booth Operator,5%,70%,10%,5%,10%,Highschool,33
Laminate Floor Installer,5%,70%,15%,10%,0%,Highschool,23
Lamp Operator,5%,80%,5%,10%,0%,Highschool,23
LAN Administrator,90%,40%,40%,20%,10%,Associates,54
Land Acquisition Manager,30%,20%,25%,15%,10%,Bachelors,53
Land Leasing Information Clerk,40%,40%,10%,5%,5%,Associates,53
Land Management Forester,20%,30%,30%,10%,10%,Bachelors,11
Land Reclamation Specialist,20%,30%,30%,10%,10%,Bachelors,11
Land Resource Specialist,30%,20%,30%,10%,10%,Bachelors,11
Land Sales Agent,20%,30%,25%,25%,10%,Bachelors,53
Landscape Architect,30%,20%,30%,10%,10%,Bachelors,54
Landscape architects,30%,20%,30%,10%,10%,Bachelors,54
Landscape Architecture Professor,20%,10%,40%,20%,10%,PhD,61
Landscape Designer,30%,20%,30%,15%,5%,Bachelors,54
Land Surveyor,30%,40%,20%,10%,10%,Professional Certificate,54
Language Pathologist,20%,30%,30%,70%,10%,Masters,62
Language Translator,40%,30%,20%,10%,0%,Bachelors,54
LAN Systems Administrator,80%,50%,40%,20%,10%,Bachelors,54
Lapidarist,10%,60%,20%,10%,0%,Professional Certificate,33
Large Animal Veterinarian,10%,30%,40%,15%,5%,Doctorate,54
Latin American Studies Professor,20%,10%,40%,20%,10%,PhD,61
Launch Operator,20%,40%,20%,20%,0%,Associates,48
Law Librarian,40%,30%,20%,10%,0%,Masters,54
Lawn Caretaker,5%,80%,5%,5%,5%,None,56
Lawn Care Worker,5%,80%,5%,10%,0%,None,56
Lawn Maintenance Worker,5%,80%,5%,10%,0%,Highschool,56
Lawn Mower,5%,90%,5%,10%,5%,None,56
Lawn Mower Repairer,5%,70%,15%,5%,5%,Professional Certificate,81
Lawn Service Worker,5%,70%,10%,10%,5%,None,56
Law Secretary,40%,40%,10%,10%,0%,Associates,54
Lawyers,30%,20%,30%,15%,5%,Professional Certificate,54
Lay Health Advocate,20%,30%,20%,30%,0%,Associates,62
Lead Abatement Worker,10%,60%,20%,10%,5%,Professional Certificate,56
Leaded Glass Installer,5%,60%,20%,10%,5%,Highschool,23
Lead Sewage Plant Operator,10%,40%,20%,10%,20%,Associates,22
Lead Team Assembler,10%,40%,20%,20%,10%,Highschool,31
Leasing Property Manager,30%,40%,10%,50%,40%,Associates,53
Legal Administrative Assistant,70%,60%,40%,30%,10%,Associates,54
Legal Aide,40%,40%,10%,10%,0%,Associates,54
Legal Assistant,70%,60%,40%,50%,10%,Associates,54
Legal Counsel,30%,20%,30%,15%,5%,Professional Certificate,54
Leisure Studies Professor,20%,10%,40%,30%,10%,PhD,61
Lens Grinder and Polisher,5%,70%,15%,5%,5%,Highschool,33
Lens Grinder,10%,70%,10%,5%,5%,Highschool,33
Lens Mounter,10%,70%,10%,5%,5%,Highschool,33
Lepidopterist,20%,30%,40%,10%,0%,PhD,54
Letter Carrier,5%,70%,5%,15%,5%,Highschool,49
Librarians and library media specialists,40%,30%,60%,70%,20%,Masters,51
Library Acquisitions Technician,40%,30%,20%,10%,0%,Associates,51
Library Aide,20%,50%,10%,20%,0%,Highschool,51
Library and Information Science Professor,40%,20%,30%,10%,0%,PhD,61
Library and Information Technology Instructor,60%,20%,50%,40%,10%,Masters,61
Library Assistant,30%,40%,10%,15%,5%,Associates,51
Library Cataloging Technician,60%,30%,5%,5%,0%,Associates,51
Library Circulation Clerk,40%,40%,10%,10%,0%,Highschool,51
Library Circulation Technician,40%,40%,10%,10%,0%,Associates,51
Library Clerk,30%,50%,10%,40%,5%,Highschool,51
Library Media Specialist,40%,20%,20%,15%,5%,Masters,61
Library Technical Assistant,40%,30%,20%,10%,0%,Associates,51
Library technicians and assistants,30%,40%,15%,10%,5%,Associates,51
License Clerk,40%,40%,10%,10%,0%,Highschool,92
Licensed Audiologist,20%,30%,30%,20%,0%,Doctorate,62
Licensed Clinical Mental Health Counselor (LCMHC),10%,20%,40%,30%,5%,Masters,62
Licensed Clinical Mental Health Counselor,20%,30%,30%,80%,10%,Masters,62
Licensed Dispensing Optician,20%,40%,20%,20%,0%,Professional Certificate,44
Licensed Electrician,10%,60%,20%,10%,0%,Professional Certificate,23
Licensed Esthetician,10%,40%,20%,30%,5%,Professional Certificate,81
Licensed Guide Dog Instructor,5%,40%,30%,25%,0%,Professional Certificate,61
Licensed Massage Practitioner,5%,60%,20%,15%,0%,Professional Certificate,62
Licensed Massage Therapist,5%,70%,15%,90%,5%,Professional Certificate,81
Licensed Mental Health Counselor (LMHC),20%,30%,40%,90%,10%,Masters,62
Licensed Mental Health Counselor,10%,20%,40%,30%,0%,Masters,62
Licensed Occupational Therapy Assistant,10%,40%,20%,30%,0%,Associates,62
Licensed Optical Dispenser,20%,40%,20%,20%,0%,Professional Certificate,44
Licensed Optician,20%,40%,20%,20%,0%,Professional Certificate,44
Licensed Physical Therapist Assistant,10%,40%,20%,30%,0%,Associates,62
Licensed practical and licensed vocational nurses,10%,60%,20%,70%,10%,Professional Certificate,62
Licensed Practical Nurse,15%,40%,25%,20%,0%,Professional Certificate,62
Licensed Private Investigator,30%,20%,30%,20%,10%,Professional Certificate,56
Licensed Prosthetist,10%,30%,40%,15%,5%,Professional Certificate,62
Licensed Real Estate Broker,30%,20%,25%,25%,15%,Professional Certificate,53
Licensed Veterinary Technician,20%,40%,20%,20%,0%,Associates,54
Licensed Vocational Nurse,10%,40%,20%,30%,0%,Professional Certificate,62
Life Insurance Agent,30%,40%,20%,70%,10%,Highschool,52
Life Insurance Salesperson,30%,40%,20%,70%,10%,Highschool,52
Lighting Engineering Technician,30%,40%,20%,5%,5%,Associates,54
Lighting Fixture Installer,5%,70%,15%,10%,0%,Highschool,23
Line Cook,5%,70%,10%,10%,5%,Highschool,72
Line Dancer,5%,70%,10%,15%,0%,None,71
Line Feeder,5%,80%,5%,5%,5%,Highschool,31
Line Haul Driver,5%,70%,10%,10%,5%,Highschool,48
Linoleum Installer,5%,70%,10%,10%,5%,Highschool,23
Linoleum Layer Helper,5%,70%,10%,15%,0%,Highschool,23
Lion Trainer,5%,40%,20%,30%,5%,Professional Certificate,71
Liquid Sugar Fortifier,10%,60%,20%,5%,5%,Highschool,31
Liquid Waste Treatment Plant Operator,10%,60%,20%,5%,5%,Highschool,22
Literacy Education Professor,40%,20%,30%,60%,10%,PhD,61
Livestock Breeder,10%,40%,20%,20%,10%,Highschool,11
Livestock Buyer,10%,40%,20%,20%,10%,Highschool,11
Livestock Handler,5%,70%,10%,10%,5%,Highschool,11
Livestock Showman,5%,60%,10%,25%,10%,Highschool,11
Loader Operator,5%,70%,10%,10%,5%,Highschool,23
Loan Analyst,40%,30%,20%,10%,0%,Bachelors,52
Loan Interviewer,40%,30%,10%,20%,0%,Associates,52
Loan Officer,40%,30%,20%,10%,5%,Bachelors,52
Loan officers,40%,40%,10%,70%,20%,Bachelors,52
Loan Processor,70%,60%,40%,30%,10%,Associates,52
Loan Reviewer,40%,40%,10%,5%,5%,Bachelors,52
Loan Teller,40%,40%,10%,10%,0%,Highschool,52
Lobbyist,40%,20%,20%,60%,20%,Bachelors,54
Lobster Catcher,5%,70%,10%,15%,5%,None,11
Local Area Network Administrator,80%,10%,40%,20%,10%,Bachelors,54
Local Governance and Citizen Participation Specialist,40%,20%,30%,60%,30%,Masters,92
Locomotive Electrician,20%,50%,20%,10%,0%,Professional Certificate,48
Locomotive Switch Operator,5%,70%,15%,5%,5%,Unknown,48
Lodging Facilities Manager,30%,30%,20%,50%,40%,Bachelors,72
Lodging managers,30%,40%,20%,60%,50%,Associates,72
Log Check Scaler,10%,60%,20%,5%,5%,Highschool,11
Log Chipper Operator,5%,80%,5%,5%,5%,Highschool,11
Log Cutter,5%,80%,5%,10%,0%,Highschool,11
Logging Cable Skidder Operator,5%,70%,10%,10%,5%,Highschool,11
